date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:17	41932/41932	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20May%202022%2021:25:59%20GMT	http://saintluxfrenchbulldogpups.com/french-bulldog.html	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/french-bulldog.html	(from )
09:09:30	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Apr%202022%2019:13:55%20GMT	http://saintluxfrenchbulldogpups.com/robots.txt		(from )
09:09:48	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sat,%2013%20Feb%202021%2004:40:30%20GMT	http://saintluxfrenchbulldogpups.com/assets/images/favicon.ico	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/assets/images/favicon.ico	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:10:17	320525/320525	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Feb%202021%2004:40:20%20GMT	http://saintluxfrenchbulldogpups.com/assets/css/theme-plugins.min.css	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/assets/css/theme-plugins.min.css	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:11:12	145555/145555	---M--	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2007:38:42%20GMT	http://saintluxfrenchbulldogpups.com/assets/css/style.css	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/assets/css/style.css	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:11:45	21915/21915	---M--	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2006:53:29%20GMT	http://saintluxfrenchbulldogpups.com/assets/css/responsive.css	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/assets/css/responsive.css	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:12:47	93048/93048	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2011:51:00%20GMT	http://saintluxfrenchbulldogpups.com/index.html	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/index.html	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:13:04	47005/47005	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2007:29:42%20GMT	http://saintluxfrenchbulldogpups.com/assets/logo/red.png	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/assets/logo/red.png	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:18:34	20101/20101	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20May%202022%2021:22:40%20GMT	http://saintluxfrenchbulldogpups.com/privacy-policy.html	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/privacy-policy.html	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:18:52	15387/15387	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20May%202022%2021:22:40%20GMT	http://saintluxfrenchbulldogpups.com/about.html	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/about.html	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:19:10	19677/19677	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20May%202022%2021:22:40%20GMT	http://saintluxfrenchbulldogpups.com/contact-us.html	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/contact-us.html	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:19:16	3811/3811	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Feb%202021%2004:40:28%20GMT	http://saintluxfrenchbulldogpups.com/assets/images/Dot-Shape.png	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/assets/images/Dot-Shape.png	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:19:35	242883/242883	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:15%20GMT	http://saintluxfrenchbulldogpups.com/puppies/blaze_male.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/blaze_male.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:19:44	119550/119550	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:20%20GMT	http://saintluxfrenchbulldogpups.com/puppies/bella_female.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/bella_female.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:19:54	91140/91140	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:42%20GMT	http://saintluxfrenchbulldogpups.com/puppies/blue_male.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/blue_male.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:20:16	87647/87647	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:45%20GMT	http://saintluxfrenchbulldogpups.com/puppies/buddy_male.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/buddy_male.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:20:49	278556/278556	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:39%20GMT	http://saintluxfrenchbulldogpups.com/puppies/fonzie_female.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/fonzie_female.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:20:55	145500/145500	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:18%20GMT	http://saintluxfrenchbulldogpups.com/puppies/franky_male.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/franky_male.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:21:10	181472/181472	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:10%20GMT	http://saintluxfrenchbulldogpups.com/puppies/gizmo_male.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/gizmo_male.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:21:18	136010/136010	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:24%20GMT	http://saintluxfrenchbulldogpups.com/puppies/jojo_male.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/jojo_male.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:21:33	210310/210310	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:12%20GMT	http://saintluxfrenchbulldogpups.com/puppies/lola_female.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/lola_female.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:21:43	133619/133619	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20May%202022%2018:25:05%20GMT	http://saintluxfrenchbulldogpups.com/puppies/remy_male.jpeg	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/puppies/remy_male.jpg	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:22:10	35688/35688	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2007:29:08%20GMT	http://saintluxfrenchbulldogpups.com/assets/logo/white.png	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/assets/logo/white.png	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
09:22:21	89475/89475	---M--	200	added ('OK')	application/javascript	date:Sat,%2013%20Feb%202021%2004:40:48%20GMT	http://saintluxfrenchbulldogpups.com/assets/js/jquery.min.js	C:/Mes%20Sites%20Web/Site_chien_1/saintluxfrenchbulldogpups.com/assets/js/jquery.min.js	(from http://saintluxfrenchbulldogpups.com/french-bulldog.html)
